180,000180.png,0.7
181,000181.png,0.3
182,000182.png,0.74
183,000183.png,0.63
184,000184.png,0.6
185,000185.png,0.29
186,000186.png,0.45
187,000187.png,0.59
188,000188.png,0.56
189,000189.png,0.45
190,000190.png,0.36
191,000191.png,0.32
192,000192.png,0.32
193,000193.png,0.76
194,000194.png,0.35
195,000195.png,0.45
196,000196.png,0.78
197,000197.png,0.69
198,000198.png,0.77
199,000199.png,0.66
200,000200.png,0.52
201,000201.png,0.46
202,000202.png,0.63
203,000203.png,0.27
204,000204.png,0.24
205,000205.png,0.59
206,000206.png,0.5
207,000207.png,0.24
208,000208.png,0.25
209,000209.png,0.5
210,000210.png,0.5
211,000211.png,0.61
212,000212.png,0.2
213,000213.png,0.42
214,000214.png,0.39
215,000215.png,0.31
216,000216.png,0.34
217,000217.png,0.29
218,000218.png,0.37
219,000219.png,0.61
220,000220.png,0.55
221,000221.png,0.48
222,000222.png,0.73
223,000223.png,0.1
224,000224.png,0.23
225,000225.png,0.4
226,000226.png,0.6
227,000227.png,0.48
228,000228.png,0.45
229,000229.png,0.75
230,000230.png,0.28
231,000231.png,0.5
232,000232.png,0.56
233,000233.png,0.53
234,000234.png,0.55
235,000235.png,0.38
236,000236.png,0.52
237,000237.png,0.53
238,000238.png,0.48
239,000239.png,0.28
240,000240.png,0.67
241,000241.png,0.26
242,000242.png,0.49
243,000243.png,0.57
244,000244.png,0.59
245,000245.png,0.57
246,000246.png,0.36
247,000247.png,0.48
248,000248.png,0.56
249,000249.png,0.36
250,000250.png,0.43
251,000251.png,0.53
252,000252.png,0.77
253,000253.png,0.44
254,000254.png,0.41
255,000255.png,0.46
256,000256.png,0.59
257,000257.png,0.77
258,000258.png,0.55
259,000259.png,0.57
260,000260.png,0.65
261,000261.png,0.77
262,000262.png,0.65
263,000263.png,0.6
264,000264.png,0.37
265,000265.png,0.39
266,000266.png,0.4
267,000267.png,0.36
268,000268.png,0.64
269,000269.png,0.46
270,000270.png,0.75
271,000271.png,0.18
272,000272.png,0.43
273,000273.png,0.69
274,000274.png,0.67
275,000275.png,0.43
276,000276.png,0.67
277,000277.png,0.61
278,000278.png,0.62
279,000279.png,0.34
280,000280.png,0.7
281,000281.png,0.36
282,000282.png,0.59
283,000283.png,0.66
284,000284.png,0.46
285,000285.png,0.46
286,000286.png,0.38
287,000287.png,0.76
288,000288.png,0.49
289,000289.png,0.5
290,000290.png,0.48
291,000291.png,0.72
292,000292.png,0.32
293,000293.png,0.56
294,000294.png,0.52
295,000295.png,0.57
296,000296.png,0.72
297,000297.png,0.36
298,000298.png,0.69
299,000299.png,0.39
300,000300.png,0.52
